1	1	1	1	0	0	0	0
2	1	0	1	0	0	0	0
3	1	0	1	0	0	0	0
4	1	0	1	0	0	0	0
5	1	0	1	0	0	0	0
6	1	0	1	0	0	0	0
7	1	0	1	0	0	0	0
8	1	0	1	0	0	0	0
9	1	0	1	0	0	0	0
10	1	0	1	0	0	0	0
11	1	0	1	0	0	0	0
12	1	0	1	0	0	0	0
22	1	0	1	0	0	0	0
23	1	0	1	0	0	0	0
33	1	0	1	0	0	0	0
34	1	0	1	0	0	0	0
44	1	0	1	0	0	0	0
45	1	0	1	0	0	0	0
55	1	0	1	0	0	0	0
56	1	0	1	0	0	0	0
66	1	0	1	0	0	0	0
67	1	0	1	0	0	0	0
77	1	0	1	0	0	0	0
78	1	0	1	0	0	0	0
88	1	0	1	0	0	0	0
89	1	0	1	0	0	0	0
99	1	0	1	0	0	0	0
100	1	0	1	0	0	0	0
110	1	0	1	0	0	0	0
111	1	0	1	0	0	0	0
112	1	0	1	0	0	0	0
113	1	0	1	0	0	0	0
114	1	0	1	0	0	0	0
115	1	0	1	0	0	0	0
116	1	0	1	0	0	0	0
117	1	0	1	0	0	0	0
118	1	0	1	0	0	0	0
119	1	0	1	0	0	0	0
120	1	0	1	0	0	0	0
121	1	0	1	0	0	0	0
