0	0
10	0
20	0
30	0
40	0
50	0
60	0
0	10
10	10
20	10
30	10
40	10
50	10
60	10
0	20
10	20
20	20
30	20
40	20
50	20
60	20
0	30
10	30
20	30
30	30
40	30
50	30
60	30
0	40
10	40
20	40
30	40
40	40
50	40
60	40
0	50
10	50
20	50
30	50
40	50
50	50
60	50
0	60
10	60
20	60
30	60
40	60
50	60
60	60
0	70
10	70
20	70
30	70
40	70
50	70
60	70
0	80
10	80
20	80
30	80
40	80
50	80
60	80
0	85
5	85
15	85
25	85
35	85
45	85
55	85
60	85
0	90
5	90
10	90
15	90
20	90
25	90
30	90
35	90
40	90
45	90
50	90
55	90
60	90
0	95
5	95
10	95
15	95
20	95
25	95
30	95
35	95
40	95
45	95
50	95
55	95
60	95
0	100
5	100
10	100
15	100
20	100
25	100
30	100
35	100
40	100
45	100
50	100
55	100
60	100
0	105
5	105
10	105
15	105
20	105
25	105
30	105
35	105
40	105
45	105
50	105
55	105
60	105
0	110
5	110
10	110
15	110
20	110
25	110
30	110
35	110
40	110
45	110
50	110
55	110
60	110
0	112.5
2.5	112.5
7.5	112.5
12.5	112.5
17.5	112.5
22.5	112.5
27.5	112.5
32.5	112.5
37.5	112.5
42.5	112.5
47.5	112.5
52.5	112.5
57.5	112.5
60	112.5
0	115
2.5	115
5	115
7.5	115
10	115
12.5	115
15	115
17.5	115
20	115
22.5	115
25	115
27.5	115
30	115
32.5	115
35	115
37.5	115
40	115
42.5	115
45	115
47.5	115
50	115
52.5	115
55	115
57.5	115
60	115
0	117.5
2.5	117.5
5	117.5
7.5	117.5
10	117.5
12.5	117.5
15	117.5
17.5	117.5
20	117.5
22.5	117.5
25	117.5
27.5	117.5
30	117.5
32.5	117.5
35	117.5
37.5	117.5
40	117.5
42.5	117.5
45	117.5
47.5	117.5
50	117.5
52.5	117.5
55	117.5
57.5	117.5
60	117.5
0	120
2.5	120
5	120
7.5	120
10	120
12.5	120
15	120
17.5	120
20	120
22.5	120
25	120
27.5	120
30	120
32.5	120
35	120
37.5	120
40	120
42.5	120
45	120
47.5	120
50	120
52.5	120
55	120
57.5	120
60	120
0	122.5
2.5	122.5
5	122.5
7.5	122.5
10	122.5
12.5	122.5
15	122.5
17.5	122.5
20	122.5
22.5	122.5
25	122.5
27.5	122.5
30	122.5
32.5	122.5
35	122.5
37.5	122.5
40	122.5
42.5	122.5
45	122.5
47.5	122.5
50	122.5
52.5	122.5
55	122.5
57.5	122.5
60	122.5
0	125
2.5	125
5	125
7.5	125
10	125
12.5	125
15	125
17.5	125
20	125
22.5	125
25	125
27.5	125
30	125
32.5	125
35	125
37.5	125
40	125
42.5	125
45	125
47.5	125
50	125
52.5	125
55	125
57.5	125
60	125
0	127.5
2.5	127.5
5	127.5
7.5	127.5
10	127.5
12.5	127.5
15	127.5
17.5	127.5
20	127.5
22.5	127.5
25	127.5
27.5	127.5
30	127.5
32.5	127.5
35	127.5
37.5	127.5
40	127.5
42.5	127.5
45	127.5
47.5	127.5
50	127.5
52.5	127.5
55	127.5
57.5	127.5
60	127.5
0	130
2.5	130
5	130
7.5	130
10	130
12.5	130
15	130
17.5	130
20	130
22.5	130
25	130
27.5	130
30	130
32.5	130
35	130
37.5	130
40	130
42.5	130
45	130
47.5	130
50	130
52.5	130
55	130
57.5	130
60	130
0	132.5
2.5	132.5
5	132.5
7.5	132.5
10	132.5
12.5	132.5
15	132.5
17.5	132.5
20	132.5
22.5	132.5
25	132.5
27.5	132.5
30	132.5
32.5	132.5
35	132.5
37.5	132.5
40	132.5
42.5	132.5
45	132.5
47.5	132.5
50	132.5
52.5	132.5
55	132.5
57.5	132.5
60	132.5
0	135
2.5	135
5	135
7.5	135
10	135
12.5	135
15	135
17.5	135
20	135
22.5	135
25	135
27.5	135
30	135
32.5	135
35	135
37.5	135
40	135
42.5	135
45	135
47.5	135
50	135
52.5	135
55	135
57.5	135
60	135
0	137.5
2.5	137.5
7.5	137.5
12.5	137.5
17.5	137.5
22.5	137.5
27.5	137.5
32.5	137.5
37.5	137.5
42.5	137.5
47.5	137.5
52.5	137.5
57.5	137.5
60	137.5
0	140
5	140
10	140
15	140
20	140
25	140
30	140
35	140
40	140
45	140
50	140
55	140
60	140
0	145
5	145
10	145
15	145
20	145
25	145
30	145
35	145
40	145
45	145
50	145
55	145
60	145
0	150
5	150
10	150
15	150
20	150
25	150
30	150
35	150
40	150
45	150
50	150
55	150
60	150
0	155
5	155
10	155
15	155
20	155
25	155
30	155
35	155
40	155
45	155
50	155
55	155
60	155
0	160
5	160
10	160
15	160
20	160
25	160
30	160
35	160
40	160
45	160
50	160
55	160
60	160
0	165
5	165
15	165
25	165
35	165
45	165
55	165
60	165
0	170
10	170
20	170
30	170
40	170
50	170
60	170
0	180
10	180
20	180
30	180
40	180
50	180
60	180
0	190
10	190
20	190
30	190
40	190
50	190
60	190
0	200
10	200
20	200
30	200
40	200
50	200
60	200
0	210
10	210
20	210
30	210
40	210
50	210
60	210
0	220
10	220
20	220
30	220
40	220
50	220
60	220
0	230
10	230
20	230
30	230
40	230
50	230
60	230
0	240
10	240
20	240
30	240
40	240
50	240
60	240
0	250
10	250
20	250
30	250
40	250
50	250
60	250
0	125
2.5	125
57.5	125
60	125
